phi,theta
2.8333E-06,0.3657
2.8333E-06,0.36606
2.8333E-06,0.36642
2.8333E-06,0.36678
2.8333E-06,0.36714
2.8333E-06,0.36749
2.8334E-06,0.36785
2.8334E-06,0.36821
2.8334E-06,0.36857
2.8334E-06,0.36893
2.8334E-06,0.36928
2.8334E-06,0.36964
2.8335E-06,0.37
2.8335E-06,0.37036
2.8335E-06,0.37072
2.8335E-06,0.37107
2.8335E-06,0.37143
2.8336E-06,0.37179
2.8336E-06,0.37215
2.8336E-06,0.37251
2.8336E-06,0.37286
2.8336E-06,0.37322
2.8336E-06,0.37358
2.8337E-06,0.37394
2.8337E-06,0.37429
2.8337E-06,0.37465
2.8337E-06,0.37501
2.8337E-06,0.37537
2.8337E-06,0.37573
2.8338E-06,0.37608
2.8338E-06,0.37644
2.8338E-06,0.3768
2.8338E-06,0.37716
2.8338E-06,0.37752
2.8338E-06,0.37788
2.8339E-06,0.37823
2.8339E-06,0.37859
2.8339E-06,0.37895
2.8339E-06,0.37931
2.8339E-06,0.37967
2.8339E-06,0.38002
2.834E-06,0.38038
2.834E-06,0.38074
2.834E-06,0.3811
2.834E-06,0.38146
2.834E-06,0.38181
2.834E-06,0.38217
2.8341E-06,0.38253
2.8341E-06,0.38289
2.8341E-06,0.38325
2.8341E-06,0.3836
2.8341E-06,0.38396
2.8341E-06,0.38432
2.8342E-06,0.38468
2.8342E-06,0.38504
2.8342E-06,0.38539
