phi,theta
0.035244,-22.916
0.035244,-22.91
0.035244,-22.904
0.035244,-22.898
0.035244,-22.892
0.035244,-22.886
0.035244,-22.879
0.035244,-22.873
0.035245,-22.867
0.035245,-22.861
0.035245,-22.855
0.035245,-22.848
0.035245,-22.842
0.035245,-22.836
0.035245,-22.83
0.035245,-22.824
0.035245,-22.817
0.035245,-22.811
0.035245,-22.805
0.035245,-22.799
0.035245,-22.792
0.035245,-22.786
0.035245,-22.78
0.035245,-22.774
0.035245,-22.767
0.035245,-22.761
0.035245,-22.755
0.035245,-22.748
0.035245,-22.742
0.035245,-22.736
0.035245,-22.73
0.035245,-22.723
0.035245,-22.717
0.035245,-22.711
0.035245,-22.704
0.035245,-22.698
0.035245,-22.692
0.035245,-22.685
0.035245,-22.679
0.035245,-22.672
0.035245,-22.666
0.035245,-22.66
0.035245,-22.653
0.035245,-22.647
0.035245,-22.641
0.035245,-22.634
0.035246,-22.628
0.035246,-22.621
0.035246,-22.615
0.035246,-22.608
0.035246,-22.602
0.035246,-22.596
0.035246,-22.589
0.035246,-22.583
0.035246,-22.576
0.035246,-22.57
0.035246,-22.563
0.035246,-22.557
0.035246,-22.55
0.035246,-22.544
0.035246,-22.537
0.035246,-22.531
0.035246,-22.524
0.035246,-22.518
0.035246,-22.511
0.035246,-22.505
0.035246,-22.498
0.035246,-22.492
0.035246,-22.485
0.035246,-22.479
0.035246,-22.472
0.035246,-22.465
0.035246,-22.459
0.035246,-22.452
0.035246,-22.446
0.035246,-22.439
0.035246,-22.433
0.035246,-22.426
0.035246,-22.419
0.035246,-22.413
0.035246,-22.406
0.035246,-22.4
0.035246,-22.393
0.035246,-22.386
0.035246,-22.38
0.035247,-22.373
0.035247,-22.366
0.035247,-22.36
0.035247,-22.353
0.035247,-22.346
0.035247,-22.34
0.035247,-22.333
0.035247,-22.326
0.035247,-22.32
0.035247,-22.313
0.035247,-22.306
0.035247,-22.299
0.035247,-22.293
0.035247,-22.286
0.035247,-22.279
0.035247,-22.273
0.035247,-22.266
0.035247,-22.259
0.035247,-22.252
0.035247,-22.246
0.035247,-22.239
0.035247,-22.232
0.035247,-22.225
0.035247,-22.218
0.035247,-22.212
0.035247,-22.205
0.035247,-22.198
0.035247,-22.191
0.035247,-22.184
0.035247,-22.178
0.035247,-22.171
0.035247,-22.164
0.035247,-22.157
0.035247,-22.15
0.035247,-22.143
0.035247,-22.137
0.035247,-22.13
0.035247,-22.123
0.035247,-22.116
0.035248,-22.109
0.035248,-22.102
0.035248,-22.095
0.035248,-22.088
0.035248,-22.082
0.035248,-22.075
0.035248,-22.068
0.035248,-22.061
0.035248,-22.054
0.035248,-22.047
0.035248,-22.04
0.035248,-22.033
0.035248,-22.026
0.035248,-22.019
0.035248,-22.012
0.035248,-22.005
0.035248,-21.998
0.035248,-21.991
0.035248,-21.984
0.035248,-21.977
0.035248,-21.97
0.035248,-21.963
0.035248,-21.956
0.035248,-21.949
0.035248,-21.942
0.035248,-21.935
0.035248,-21.928
0.035248,-21.921
0.035248,-21.914
0.035248,-21.907
0.035248,-21.9
0.035248,-21.893
0.035248,-21.886
0.035248,-21.879
0.035248,-21.872
0.035248,-21.864
0.035248,-21.857
0.035248,-21.85
0.035249,-21.843
0.035249,-21.836
0.035249,-21.829
0.035249,-21.822
0.035249,-21.815
0.035249,-21.807
0.035249,-21.8
0.035249,-21.793
0.035249,-21.786
0.035249,-21.779
0.035249,-21.772
0.035249,-21.765
0.035249,-21.757
0.035249,-21.75
0.035249,-21.743
0.035249,-21.736
0.035249,-21.729
0.035249,-21.721
0.035249,-21.714
